xD,Sw,PVI,case
0.6093489148580968,0.2,0.2,waterflood
0.6110183639398998,0.2,0.2,waterflood
0.6126878130217028,0.2,0.2,waterflood
0.6143572621035058,0.2,0.2,waterflood
0.6160267111853088,0.2,0.2,waterflood
0.6176961602671118,0.2,0.2,waterflood
0.6193656093489148,0.2,0.2,waterflood
0.6210350584307179,0.2,0.2,waterflood
0.6227045075125209,0.2,0.2,waterflood
0.6243739565943239,0.2,0.2,waterflood
0.6260434056761269,0.2,0.2,waterflood
0.6277128547579299,0.2,0.2,waterflood
0.6293823038397329,0.2,0.2,waterflood
0.6310517529215359,0.2,0.2,waterflood
0.6327212020033389,0.2,0.2,waterflood
0.6343906510851419,0.2,0.2,waterflood
0.6360601001669449,0.2,0.2,waterflood
0.6377295492487479,0.2,0.2,waterflood
0.6393989983305509,0.2,0.2,waterflood
0.6410684474123539,0.2,0.2,waterflood
0.6427378964941569,0.2,0.2,waterflood
0.6444073455759599,0.2,0.2,waterflood
0.6460767946577629,0.2,0.2,waterflood
0.6477462437395659,0.2,0.2,waterflood
0.649415692821369,0.2,0.2,waterflood
0.651085141903172,0.2,0.2,waterflood
0.652754590984975,0.2,0.2,waterflood
0.654424040066778,0.2,0.2,waterflood
0.656093489148581,0.2,0.2,waterflood
0.657762938230384,0.2,0.2,waterflood
0.659432387312187,0.2,0.2,waterflood
0.66110183639399,0.2,0.2,waterflood
0.662771285475793,0.2,0.2,waterflood
0.664440734557596,0.2,0.2,waterflood
0.666110183639399,0.2,0.2,waterflood
0.667779632721202,0.2,0.2,waterflood
0.669449081803005,0.2,0.2,waterflood
0.671118530884808,0.2,0.2,waterflood
0.672787979966611,0.2,0.2,waterflood
0.674457429048414,0.2,0.2,waterflood
0.6761268781302171,0.2,0.2,waterflood
0.6777963272120201,0.2,0.2,waterflood
0.6794657762938231,0.2,0.2,waterflood
0.6811352253756261,0.2,0.2,waterflood
0.6828046744574291,0.2,0.2,waterflood
0.6844741235392321,0.2,0.2,waterflood
0.6861435726210351,0.2,0.2,waterflood
0.6878130217028381,0.2,0.2,waterflood
0.6894824707846411,0.2,0.2,waterflood
0.6911519198664441,0.2,0.2,waterflood
0.6928213689482471,0.2,0.2,waterflood
0.6944908180300501,0.2,0.2,waterflood
0.6961602671118531,0.2,0.2,waterflood
0.6978297161936561,0.2,0.2,waterflood
0.6994991652754591,0.2,0.2,waterflood
0.7011686143572621,0.2,0.2,waterflood
0.7028380634390651,0.2,0.2,waterflood
0.7045075125208682,0.2,0.2,waterflood
0.7061769616026712,0.2,0.2,waterflood
0.7078464106844742,0.2,0.2,waterflood
0.7095158597662772,0.2,0.2,waterflood
0.7111853088480802,0.2,0.2,waterflood
0.7128547579298832,0.2,0.2,waterflood
0.7145242070116862,0.2,0.2,waterflood
0.7161936560934892,0.2,0.2,waterflood
0.7178631051752922,0.2,0.2,waterflood
0.7195325542570952,0.2,0.2,waterflood
0.7212020033388982,0.2,0.2,waterflood
0.7228714524207012,0.2,0.2,waterflood
0.7245409015025042,0.2,0.2,waterflood
0.7262103505843072,0.2,0.2,waterflood
0.7278797996661102,0.2,0.2,waterflood
0.7295492487479132,0.2,0.2,waterflood
0.7312186978297163,0.2,0.2,waterflood
0.7328881469115193,0.2,0.2,waterflood
0.7345575959933223,0.2,0.2,waterflood
0.7362270450751253,0.2,0.2,waterflood
0.7378964941569283,0.2,0.2,waterflood
0.7395659432387313,0.2,0.2,waterflood
0.7412353923205343,0.2,0.2,waterflood
0.7429048414023373,0.2,0.2,waterflood
0.7445742904841403,0.2,0.2,waterflood
0.7462437395659433,0.2,0.2,waterflood
