PVI,time_s,water_cut,oil_cut,Sw_prod,RF,cum_oil_m3,water_rate_m3_s,oil_rate_m3_s,case
1.0140773547094188,2028154.7094188377,0.8932866397884867,0.10671336021151334,0.6730191238875322,0.7297667595869717,11.676268153391547,8.932866397884868e-06,1.0671336021151334e-06,waterflood
1.0180851703406815,2036170.3406813631,0.8938261923007123,0.10617380769928775,0.6735672530305452,0.7302986658946315,11.684778654314105,8.938261923007124e-06,1.0617380769928776e-06,waterflood
1.0220929859719439,2044185.9719438876,0.8943607244651772,0.10563927553482277,0.6741125960289769,0.7308278943193361,11.693246309109378,8.943607244651773e-06,1.0563927553482278e-06,waterflood
1.0261008016032065,2052201.6032064129,0.8948905711098696,0.10510942889013042,0.674655226210272,0.7313544683344598,11.701671493351357,8.948905711098696e-06,1.0510942889013043e-06,waterflood
1.0301086172344691,2060217.2344689383,0.8954158666689378,0.1045841333310622,0.6751951579719789,0.7318784107398927,11.710054571838283,8.954158666689378e-06,1.0458413333106221e-06,waterflood
1.0341164328657315,2068232.8657314628,0.8959362577669339,0.10406374223306614,0.6757323805547903,0.7323997461058543,11.71839593769367,8.95936257766934e-06,1.0406374223306614e-06,waterflood
1.0381242484969941,2076248.4969939883,0.8964522515912995,0.10354774840870051,0.6762670116902276,0.7329184964616725,11.72669594338676,8.964522515912996e-06,1.0354774840870052e-06,waterflood
1.0421320641282565,2084264.128256513,0.8969638033030197,0.10303619669698028,0.6767989630574526,0.7334346840613074,11.734954944980919,8.969638033030197e-06,1.0303619669698028e-06,waterflood
1.0461398797595192,2092279.7595190383,0.8974708326148618,0.10252916738513818,0.6773284947897829,0.7339483315609405,11.743173304975048,8.97470832614862e-06,1.0252916738513817e-06,waterflood
1.0501476953907816,2100295.3907815632,0.8979734480646365,0.10202655193536347,0.6778553147812576,0.7344594610730035,11.751351377168056,8.979734480646365e-06,1.0202655193536347e-06,waterflood
1.0541555110220442,2108311.022044088,0.8984719393585195,0.10152806064148046,0.6783796964410294,0.7349680932585669,11.759489492137071,8.984719393585197e-06,1.0152806064148047e-06,waterflood
1.0581633266533066,2116326.653306613,0.8989659005176251,0.10103409948237485,0.6789014798406603,0.7354742508125619,11.76758801300099,8.989659005176251e-06,1.0103409948237486e-06,waterflood
1.0621711422845692,2124342.284569138,0.8994556701070254,0.10054432989297457,0.6794207507206163,0.7359779547337867,11.775647275740587,8.994556701070254e-06,1.0054432989297458e-06,waterflood
1.0661789579158318,2132357.9158316636,0.899941410172707,0.10005858982729299,0.6799375952561542,0.7364792252092267,11.783667603347627,8.99941410172707e-06,1.00058589827293e-06,waterflood
1.0701867735470942,2140373.547094188,0.9004228628974008,0.09957713710259919,0.6804518631974066,0.7369780837174719,11.79164933947955,9.00422862897401e-06,9.95771371025992e-07,waterflood
1.0741945891783569,2148389.1783567136,0.9009002900209091,0.0990997099790909,0.6809638307149202,0.7374745504258565,11.799592806813704,9.009002900209091e-06,9.90997099790909e-07,waterflood
1.0782024048096193,2156404.8096192386,0.9013737414775906,0.09862625852240936,0.6814733428458064,0.7379686452515555,11.807498324024888,9.013737414775908e-06,9.862625852240937e-07,waterflood
1.0822102204408819,2164420.4408817636,0.9018433126085723,0.09815668739142769,0.6819804763993643,0.7384603876341058,11.815366202145693,9.018433126085723e-06,9.81566873914277e-07,waterflood
1.0862180360721443,2172436.0721442886,0.9023088942965845,0.09769110570341555,0.6824853372476737,0.7389497975596977,11.823196760955163,9.023088942965845e-06,9.769110570341557e-07,waterflood
1.090225851703407,2180451.7034068136,0.9027705294010809,0.09722947059891907,0.6829877458818644,0.7394368947998049,11.830990316796878,9.02770529401081e-06,9.722947059891906e-07,waterflood
1.0942336673346693,2188467.3346693385,0.9032284407927162,0.09677155920728375,0.6834878620855573,0.7399216980093706,11.83874716814993,9.032284407927164e-06,9.677155920728375e-07,waterflood
1.098241482965932,2196482.965931864,0.9036826625426271,0.09631733745737292,0.6839856984780784,0.7404042256726496,11.846467610762394,9.036826625426271e-06,9.631733745737292e-07,waterflood
1.1022492985971946,2204498.597194389,0.9041329080961168,0.0958670919038832,0.684481153595636,0.7408844977094697,11.854151963351516,9.041329080961168e-06,9.586709190388321e-07,waterflood
1.106257114228457,2212514.228456914,0.9045795496736289,0.09542045032637114,0.6849744080510404,0.7413625321749199,11.861800514798718,9.045795496736289e-06,9.542045032637115e-07,waterflood
1.1102649298597196,2220529.859719439,0.9050226067999126,0.09497739320008736,0.6854654171376918,0.7418383470262747,11.869413552420395,9.050226067999127e-06,9.497739320008736e-07,waterflood
1.114272745490982,2228545.490981964,0.9054620399705425,0.09453796002945747,0.6859541126056409,0.7423119604187168,11.87699136669947,9.054620399705426e-06,9.453796002945748e-07,waterflood
1.1182805611222446,2236561.122244489,0.9058979745467644,0.09410202545323565,0.6864407296114573,0.742783389879398,11.884534238070367,9.058979745467644e-06,9.410202545323566e-07,waterflood
1.122288376753507,2244576.753507014,0.9063303525844038,0.09366964741559625,0.6869251885794786,0.7432526532257568,11.89204245161211,9.063303525844039e-06,9.366964741559626e-07,waterflood
1.1262961923847696,2252592.3847695393,0.9067592353462431,0.09324076465375686,0.6874073982374875,0.7437197679683196,11.899516287493114,9.067592353462432e-06,9.324076465375687e-07,waterflood
1.1303040080160323,2260608.016032065,0.9071847346124514,0.09281526538754858,0.6878874605821158,0.7441847510576196,11.906956016921914,9.071847346124515e-06,9.281526538754859e-07,waterflood
1.1343118236472947,2268623.6472945893,0.9076069437107595,0.09239305628924055,0.6883654580072074,0.7446476189766399,11.914361903626238,9.076069437107595e-06,9.239305628924056e-07,waterflood
1.1383196392785573,2276639.2785571143,0.9080256668975214,0.0919743331024786,0.68884126772784,0.7451083891889937,11.921734227023899,9.080256668975215e-06,9.197433310247861e-07,waterflood
1.1423274549098197,2284654.9098196393,0.908440967372549,0.09155903262745102,0.6893149109393617,0.7455670788416782,11.92907326146685,9.08440967372549e-06,9.155903262745103e-07,waterflood
1.1463352705410823,2292670.5410821647,0.9088531401734822,0.09114685982651782,0.6897865989629839,0.7460237036036197,11.936379257657915,9.088531401734822e-06,9.114685982651783e-07,waterflood
1.1503430861723447,2300686.1723446893,0.9092620686447782,0.09073793135522179,0.6902561760895651,0.7464782797281622,11.943652475650595,9.092620686447782e-06,9.07379313552218e-07,waterflood
1.1543509018036073,2308701.8036072147,0.9096677751767293,0.09033222482327075,0.690723645196395,0.7469308233564789,11.950893173703662,9.096677751767293e-06,9.033222482327075e-07,waterflood
1.1583587174348697,2316717.434869739,0.9100703950935346,0.0899296049064654,0.6911891399173257,0.7473813499518006,11.95810159922881,9.100703950935347e-06,8.992960490646541e-07,waterflood
1.1623665330661324,2324733.0661322647,0.9104698726855155,0.08953012731448451,0.6916527309325702,0.7478298752564505,11.965278004103208,9.104698726855156e-06,8.953012731448452e-07,waterflood
1.166374348697395,2332748.6973947897,0.9108662106433765,0.08913378935662353,0.6921142684127085,0.7482764149992719,11.97242263998835,9.108662106433765e-06,8.913378935662354e-07,waterflood
1.1703821643286574,2340764.3286573146,0.9112594723541445,0.0887405276458555,0.6925737714800712,0.7487209845915539,11.979535753464862,9.112594723541446e-06,8.87405276458555e-07,waterflood
1.17438997995992,2348779.9599198396,0.9116497238295264,0.08835027617047364,0.6930312954498686,0.7491635991138819,11.98661758582211,9.116497238295264e-06,8.835027617047364e-07,waterflood
1.1783977955911824,2356795.5911823646,0.9120370884891994,0.0879629115108006,0.6934869639918727,0.7496042730285374,11.993668368456598,9.120370884891994e-06,8.796291151080061e-07,waterflood
