PVI,normalized_breakthrough,domain
1.8196482965931866,0.0,Polymer front
1.823656112224449,0.0,Polymer front
1.8276639278557116,0.0,Polymer front
1.831671743486974,0.0,Polymer front
1.8356795591182367,0.0,Polymer front
1.839687374749499,0.0,Polymer front
1.8436951903807617,0.0,Polymer front
1.8477030060120243,0.0,Polymer front
1.8517108216432867,0.0,Polymer front
1.8557186372745493,0.0,Polymer front
1.8597264529058117,0.0,Polymer front
1.8637342685370744,0.0,Polymer front
1.8677420841683368,0.0,Polymer front
1.8717498997995994,0.0,Polymer front
1.8757577154308618,0.0,Polymer front
1.8797655310621244,0.0,Polymer front
1.883773346693387,0.0,Polymer front
1.8877811623246494,0.0,Polymer front
1.891788977955912,0.0,Polymer front
1.8957967935871745,0.0,Polymer front
1.899804609218437,0.0,Polymer front
1.9038124248496995,0.0,Polymer front
1.907820240480962,0.0,Polymer front
1.9118280561122245,0.0,Polymer front
1.9158358717434871,0.0,Polymer front
1.9198436873747498,0.0,Polymer front
1.9238515030060122,0.0,Polymer front
1.9278593186372748,0.0,Polymer front
1.9318671342685372,0.0,Polymer front
1.9358749498997998,0.0,Polymer front
1.9398827655310622,0.0,Polymer front
1.9438905811623248,0.0,Polymer front
1.9478983967935872,0.0,Polymer front
1.9519062124248499,0.0,Polymer front
1.9559140280561125,0.0,Polymer front
1.9599218436873749,0.0,Polymer front
1.9639296593186375,0.0,Polymer front
1.9679374749499,0.0,Polymer front
1.9719452905811625,0.0,Polymer front
1.975953106212425,0.0,Polymer front
1.9799609218436875,0.0,Polymer front
1.9839687374749502,0.0,Polymer front
1.9879765531062126,0.0,Polymer front
1.9919843687374752,0.0,Polymer front
1.9959921843687376,0.0,Polymer front
2.0,0.0,Polymer front
0.0001,0.0,Waterflood front
0.004107815631262526,0.0,Waterflood front
0.00811563126252505,0.0,Waterflood front
0.012123446893787575,0.0,Waterflood front
0.0161312625250501,0.0,Waterflood front
0.020139078156312627,0.0,Waterflood front
0.02414689378757515,0.0,Waterflood front
0.028154709418837676,0.0,Waterflood front
0.032162525050100206,0.0,Waterflood front
0.03617034068136273,0.0,Waterflood front
0.04017815631262526,0.0,Waterflood front
0.044185971943887785,0.0,Waterflood front
0.048193787575150304,0.0,Waterflood front
0.05220160320641283,0.0,Waterflood front
0.05620941883767536,0.0,Waterflood front
0.06021723446893788,0.0,Waterflood front
0.06422505010020041,0.0,Waterflood front
0.06823286573146294,0.0,Waterflood front
0.07224068136272546,0.0,Waterflood front
0.07624849699398799,0.0,Waterflood front
0.08025631262525051,0.0,Waterflood front
0.08426412825651304,0.0,Waterflood front
0.08827194388777557,0.0,Waterflood front
0.0922797595190381,0.0,Waterflood front
0.0962875751503006,0.0,Waterflood front
0.10029539078156313,0.0,Waterflood front
0.10430320641282566,0.0,Waterflood front
0.10831102204408818,0.0,Waterflood front
0.11231883767535071,0.0,Waterflood front
0.11632665330661324,0.0,Waterflood front
0.12033446893787576,0.0,Waterflood front
0.12434228456913829,0.0,Waterflood front
0.1283501002004008,0.0,Waterflood front
0.13235791583166331,0.0,Waterflood front
0.13636573146292585,0.0,Waterflood front
0.14037354709418837,0.0,Waterflood front
0.1443813627254509,0.0,Waterflood front
0.14838917835671342,0.0,Waterflood front
0.15239699398797596,0.0,Waterflood front
0.15640480961923847,0.0,Waterflood front
0.160412625250501,0.0,Waterflood front
0.16442044088176352,0.0,Waterflood front
0.16842825651302606,0.0,Waterflood front
0.17243607214428858,0.0,Waterflood front
0.17644388777555112,0.0,Waterflood front
0.18045170340681363,0.0,Waterflood front
0.18445951903807617,0.0,Waterflood front
0.18846733466933868,0.0,Waterflood front
0.1924751503006012,0.0,Waterflood front
0.19648296593186373,0.0,Waterflood front
0.20049078156312625,0.0,Waterflood front
0.2044985971943888,0.0,Waterflood front
0.2085064128256513,0.0,Waterflood front
0.21251422845691384,0.0,Waterflood front
0.21652204408817635,0.0,Waterflood front
0.2205298597194389,0.0,Waterflood front
0.2245376753507014,0.0,Waterflood front
0.22854549098196394,0.0,Waterflood front
0.23255330661322646,0.0,Waterflood front
0.236561122244489,0.0,Waterflood front
0.2405689378757515,0.0,Waterflood front
0.24457675350701405,0.0,Waterflood front
0.24858456913827656,0.0,Waterflood front
0.2525923847695391,0.0,Waterflood front
0.2566002004008016,0.0,Waterflood front
0.2606080160320641,0.0,Waterflood front
0.26461583166332664,0.0,Waterflood front
0.2686236472945892,0.0,Waterflood front
0.2726314629258517,0.0,Waterflood front
0.27663927855711423,0.0,Waterflood front
0.28064709418837674,0.0,Waterflood front
0.2846549098196393,0.0,Waterflood front
0.2886627254509018,0.0,Waterflood front
0.29267054108216434,0.0,Waterflood front
0.29667835671342685,0.0,Waterflood front
0.3006861723446894,0.0,Waterflood front
0.30469398797595193,0.0,Waterflood front
0.30870180360721444,0.0,Waterflood front
0.31270961923847695,0.0,Waterflood front
0.3167174348697395,0.0,Waterflood front
0.32072525050100203,0.0,Waterflood front
0.32473306613226455,0.0,Waterflood front
0.32874088176352706,0.0,Waterflood front
0.33274869739478957,0.0,Waterflood front
0.33675651302605214,0.0,Waterflood front
0.34076432865731465,0.0,Waterflood front
0.34477214428857716,0.0,Waterflood front
0.3487799599198397,0.0,Waterflood front
0.35278777555110225,0.0,Waterflood front
0.35679559118236476,0.0,Waterflood front
0.36080340681362727,0.0,Waterflood front
0.3648112224448898,0.0,Waterflood front
0.36881903807615235,0.0,Waterflood front
0.37282685370741486,0.0,Waterflood front
0.3768346693386774,0.0,Waterflood front
0.3808424849699399,0.0,Waterflood front
0.3848503006012024,0.0,Waterflood front
0.38885811623246497,0.0,Waterflood front
0.3928659318637275,0.0,Waterflood front
0.39687374749499,0.0,Waterflood front
0.4008815631262525,0.0,Waterflood front
0.4048893787575151,0.0,Waterflood front
0.4088971943887776,0.0,Waterflood front
0.4129050100200401,0.0,Waterflood front
0.4169128256513026,0.0,Waterflood front
0.4209206412825652,0.0,Waterflood front
0.4249284569138277,0.0,Waterflood front
0.4289362725450902,0.0,Waterflood front
0.4329440881763527,0.0,Waterflood front
0.4369519038076153,0.0,Waterflood front
0.4409597194388778,0.0,Waterflood front
0.4449675350701403,0.0,Waterflood front
0.4489753507014028,0.0,Waterflood front
0.45298316633266533,0.0,Waterflood front
