Sw,fw,dfw_dSw,case
0.7096,0.924911316953919,0.7508774401194387,waterflood
0.71,0.925211204979991,0.7485654070599139,waterflood
0.7104000000000001,0.9255101692795672,0.7462588039759339,waterflood
0.7108000000000001,0.9258082120231719,0.7439576235246932,waterflood
0.7112,0.9261053353783869,0.7416618583336003,waterflood
0.7116,0.9264015415098387,0.7393715009984589,waterflood
0.712,0.9266968325791856,0.7370865440841499,waterflood
0.7124000000000001,0.9269912107451062,0.7348069801264501,waterflood
0.7128000000000001,0.9272846781632867,0.7325328016306685,waterflood
0.7132000000000001,0.9275772369864105,0.7302640010727828,waterflood
0.7136,0.9278688893641449,0.728000570900349,waterflood
0.714,0.9281596374431308,0.7257425035325014,waterflood
0.7144000000000001,0.9284494833669711,0.7234897913588156,waterflood
0.7148000000000001,0.9287384292762179,0.7212424267415827,waterflood
0.7152000000000001,0.9290264773083644,0.7190004020171727,waterflood
0.7156,0.9293136295978316,0.7167637094926249,waterflood
0.716,0.9295998882759584,0.7145323414490576,waterflood
0.7163999999999999,0.9298852554709909,0.7123062901421235,waterflood
0.7168000000000001,0.9301697333080723,0.710085547799963,waterflood
0.7172000000000001,0.9304533239092309,0.707870106625478,waterflood
0.7176,0.9307360293933726,0.7056599587972414,waterflood
0.718,0.9310178518762686,0.7034550964672235,waterflood
0.7183999999999999,0.9312987934705464,0.7012555117642023,waterflood
0.7188000000000001,0.9315788562856802,0.6990611967919449,waterflood
0.7192000000000001,0.9318580424279801,0.6968721436301166,waterflood
0.7196,0.9321363540005841,0.6946883443351908,waterflood
0.72,0.9324137931034482,0.6925097909409033,waterflood
0.7203999999999999,0.9326903618333368,0.6903364754559789,waterflood
0.7208000000000001,0.9329660622838132,0.6881683898698157,waterflood
0.7212000000000001,0.9332408965452325,0.6860055261461184,waterflood
0.7216,0.9335148667047302,0.6838478762292652,waterflood
0.722,0.9337879748462158,0.6816954320411241,waterflood
0.7223999999999999,0.934060223050363,0.6795481854817353,waterflood
0.7228000000000001,0.9343316133946012,0.6774061284309028,waterflood
0.7232000000000001,0.9346021479531078,0.6752692527479667,waterflood
0.7236,0.9348718287967996,0.6731375502711217,waterflood
0.724,0.9351406579933247,0.6710110128194628,waterflood
0.7243999999999999,0.9354086376070551,0.6688896321916218,waterflood
0.7248000000000001,0.9356757696990782,0.6667734001675854,waterflood
0.7252000000000001,0.9359420563271893,0.664662308508241,waterflood
0.7256,0.9362074995458847,0.6625563489549222,waterflood
0.726,0.9364721014063532,0.6604555132309997,waterflood
0.7263999999999999,0.9367358639564696,0.6583597930423366,waterflood
0.7268000000000001,0.9369987892407872,0.6562691800763787,waterflood
0.7272000000000001,0.9372608793005307,0.6541836660028366,waterflood
0.7276,0.9375221361735894,0.6521032424745954,waterflood
0.728,0.9377825618945103,0.6500279011272596,waterflood
0.7283999999999999,0.9380421584944911,0.647957633580063,waterflood
0.7288000000000001,0.9383009280013745,0.645892431436323,waterflood
0.7292000000000001,0.9385588724396403,0.6438322862823043,waterflood
0.7296,0.9388159938304003,0.6417771896892646,waterflood
0.73,0.9390722941913916,0.6397271332125456,waterflood
0.7303999999999999,0.9393277755369702,0.6376821083920277,waterflood
0.7308000000000001,0.9395824398781055,0.6356421067546307,waterflood
0.7312000000000001,0.9398362892223739,0.6336071198095397,waterflood
0.7316,0.9400893255739531,0.6315771390536611,waterflood
0.732,0.9403415509336168,0.6295521559698045,waterflood
0.7323999999999999,0.9405929672987289,0.6275321620257728,waterflood
0.7328000000000001,0.9408435766632376,0.6255171486770905,waterflood
0.7332000000000001,0.9410933810176705,0.6235071073649578,waterflood
0.7336,0.9413423823491295,0.6215020295180693,waterflood
0.734,0.941590582641285,0.6195019065532961,waterflood
0.7343999999999999,0.941837983874372,0.6175067298731847,waterflood
0.7348000000000001,0.9420845880251837,0.6155164908693678,waterflood
0.7352000000000001,0.9423303970670674,0.6135311809207451,waterflood
0.7356,0.9425754129699202,0.6115507913953024,waterflood
0.736,0.9428196377001837,0.6095753136496569,waterflood
